date,home_field,mean_temperature_f,precipitation_in,snowfall_in
1900-11-29,Seattle,,,
1901-11-01,Pullman,,,
1902-11-27,Seattle,,,
1903-10-30,Pullman,,,
1904-10-29,Seattle,,,
1907-11-21,Seattle,,,
1908-11-07,Seattle,,,
1910-11-12,Spokane,39.47,0.0,0.0
1911-11-30,Seattle,,,
1912-11-28,Seattle,,,
1913-11-27,Seattle,,,
1914-11-26,Seattle,,,
1917-11-29,Seattle,,,
1919-11-15,Pullman,,,
1921-11-24,Seattle,,,
1922-10-28,Pullman,,,
1923-11-24,Seattle,,,
1924-11-22,Seattle,,,
1925-10-31,Pullman,,,
1926-10-23,Seattle,,,
1927-10-22,Seattle,,,
1928-11-29,Seattle,,,
1929-10-19,Pullman,,,
1930-11-15,Seattle,,,
1931-11-14,Seattle,,,
1932-11-12,Seattle,,,
1933-11-25,Pullman,,,
1934-11-24,Seattle,,,
1935-10-19,Pullman,,,
1936-11-26,Seattle,,,
1937-10-16,Pullman,,,
1938-11-26,Seattle,,,
1939-10-14,Pullman,,,
1940-11-30,Seattle,,,
1941-10-11,Pullman,,,
1942-11-28,Seattle,,,
1945-10-13,Seattle,,,
1945-11-24,Pullman,,,
1946-10-12,Pullman,,,
1947-11-22,Seattle,,,
1948-10-16,Pullman,,,
1949-11-19,Seattle,50.18,0.0,0.0
1950-11-25,Spokane,41.72,0.0,0.0
1951-11-24,Seattle,33.98,0.059,0.0
1952-11-29,Spokane,18.86,0.0,0.0
1953-11-21,Seattle,45.68,0.988,0.0
1954-11-20,Pullman,,,
1955-11-19,Seattle,43.34,0.291,0.0
1956-11-24,Spokane,31.64,0.0,0.0
1957-11-23,Spokane,37.4,0.0,0.0
1958-11-22,Spokane,43.7,0.012,0.0
1959-11-21,Seattle,49.28,0.39,0.0
1960-11-19,Spokane,37.94,0.039,0.0
1961-11-25,Seattle,34.16,0.0,0.0
1962-11-24,Spokane,36.5,0.079,0.0
1963-11-30,Seattle,36.14,0.0,0.0
1964-11-21,Spokane,26.24,0.0,0.079
1965-11-20,Seattle,49.82,0.252,0.0
1966-11-19,Spokane,39.74,0.039,0.0
1967-11-18,Seattle,47.84,0.0,0.0
1968-11-23,Spokane,39.56,0.0,0.0
1969-11-22,Seattle,40.82,0.0,0.0
1970-11-21,Spokane,21.74,0.0,0.0
1971-11-20,Seattle,50.99,0.0,0.0
1972-11-18,Spokane,39.2,0.118,0.0
1973-11-24,Seattle,42.8,0.079,0.0
1974-11-23,Spokane,36.5,0.15,0.0
1975-11-22,Seattle,45.14,0.299,0.0
1976-11-20,Spokane,28.4,0.0,0.0
1977-11-19,Seattle,33.8,0.0,0.0
1978-11-25,Spokane,31.46,0.0,0.394
1979-11-17,Seattle,47.3,0.02,0.0
1980-11-22,Spokane,30.74,0.0,0.0
1981-11-21,Seattle,47.84,0.358,0.0
1982-11-20,Pullman,,,
1983-11-19,Seattle,48.2,0.61,0.0
1984-11-17,Pullman,,,
1985-11-23,Seattle,17.6,0.0,0.591
1986-11-22,Pullman,,,
1987-11-21,Seattle,49.28,0.031,0.0
1988-11-19,Pullman,,,
1989-11-18,Seattle,48.56,0.0,0.0
1990-11-17,Pullman,,,
1991-11-23,Seattle,46.4,0.091,0.0
1992-11-21,Pullman,,,
1993-11-20,Seattle,45.86,0.0,0.0
1994-11-19,Pullman,,,
1995-11-18,Seattle,51.8,0.071,0.0
1996-11-23,Pullman,,,
1997-11-22,Seattle,44.6,0.181,
1998-11-21,Pullman,,,
1999-11-20,Seattle,45.86,0.819,
2000-11-18,Pullman,,,
2001-11-17,Seattle,44.06,0.0,
2002-11-23,Pullman,,,
2003-11-22,Seattle,33.98,0.0,
2004-11-20,Pullman,,,
2005-11-19,Seattle,44.78,0.0,
2006-11-18,Pullman,38.48,0.0,
2007-11-24,Seattle,37.76,0.0,
2008-11-22,Pullman,38.48,,
2009-11-28,Seattle,47.12,0.0,0.0
2010-12-04,Pullman,25.16,0.0,
2011-11-26,Seattle,46.04,0.02,0.0
2012-11-23,Pullman,40.28,,
2013-11-29,Seattle,44.96,0.02,0.0
2014-11-29,Pullman,28.22,,
2015-11-27,Seattle,38.3,0.0,0.0
2016-11-25,Pullman,42.8,,
2017-11-25,Seattle,47.12,0.189,0.0
2018-11-23,Pullman,39.92,,
2019-11-29,Seattle,35.24,0.0,0.0
2021-11-26,Seattle,49.28,0.031,0.0
2022-11-26,Pullman,32.18,,
2023-11-25,Seattle,35.24,0.0,0.0
2024-09-14,Seattle,60.62,0.091,0.0
2025-09-20,Pullman,65.84,0.0,
